age,income,years_experience,gender,target
31,41715,13,F,0
20,22648,2,F,0
18,20000,0,M,0
22,27411,4,M,0
43,23920,0,M,0
31,42747,13,M,0
56,78402,30,F,1
44,34314,6,M,0
26,37247,8,M,1
32,43516,14,F,1
32,49767,14,F,1
43,66161,25,F,1
59,87995,34,F,1
30,30764,3,F,0
49,21138,1,M,0
56,91392,34,M,1
49,51593,17,F,1
21,20374,1,F,0
47,69313,26,F,1
54,88887,36,M,1
40,27819,6,F,0
56,95119,38,M,1
62,75591,30,M,1
32,49543,14,F,1
60,87822,33,M,1
46,30056,6,F,0
53,74422,28,F,1
30,33706,7,F,0
49,79478,31,M,1
24,21663,2,M,0
39,61554,21,F,1
45,76336,27,M,1
19,22064,1,F,0
59,24428,3,M,0
62,34773,9,M,0
23,29392,5,F,0
45,54321,18,F,1
45,42683,11,F,0
61,36900,10,F,1
61,78999,31,M,1
37,29296,5,F,0
47,81072,29,M,1
28,39050,10,M,0
45,73646,25,F,1
42,36023,7,M,0
56,42409,9,F,0
50,60947,21,M,1
18,20000,0,M,0
44,57755,21,F,1
30,42032,12,F,0
58,29047,5,F,0
20,28181,2,F,0
56,86082,35,M,1
23,28099,5,F,0
25,30720,7,M,0
44,69415,26,F,1
26,25254,2,M,0
54,90622,36,F,1
50,88768,32,F,1
59,88600,35,M,1
61,51300,16,F,1
41,64485,23,M,1
32,48868,14,F,1
49,78711,30,M,1
49,79123,31,F,1
41,55980,18,M,1
58,40402,8,F,0
29,46969,11,F,0
56,92760,37,F,1
19,26105,1,M,0
20,25416,2,F,0
54,92534,35,M,1
34,41965,10,F,0
19,20095,1,F,0
19,20734,1,F,0
45,71731,27,F,1
40,62885,20,M,1
54,34734,9,M,0
49,70846,24,M,1
50,83349,31,F,1
18,23498,0,F,0
36,57586,18,F,1
19,21732,1,F,0
61,67580,25,M,1
43,55373,16,F,1
49,57576,18,F,1
23,22025,2,F,0
49,41797,12,M,1
21,23050,1,F,0
28,43437,10,F,0
34,56130,16,F,1
55,86782,32,M,1
41,67687,23,F,1
22,29858,4,M,0
51,28800,2,M,0
23,27949,5,F,0
39,61050,21,F,1
28,36687,10,M,0
65,78590,27,F,1
33,37667,11,F,0
50,30019,7,F,0
26,36612,8,M,0
23,25637,5,F,0
33,47675,15,F,1
46,73022,28,F,1
20,25872,2,F,0
37,53777,19,F,1
53,66358,24,M,1
36,56576,18,F,1
43,36828,7,F,0
20,20006,2,F,0
36,20000,1,F,0
37,52984,18,F,1
49,24934,2,F,0
24,31506,6,M,0
58,93846,38,F,1
50,85521,31,F,1
57,29242,5,F,0
56,37387,7,F,0
35,32390,4,F,0
57,48016,12,M,1
18,22619,0,M,0
28,36969,10,F,0
45,23920,0,M,0
42,22475,3,M,0
40,53958,19,M,1
48,76328,28,M,1
47,80704,29,M,1
59,79356,32,F,1
52,48471,13,F,0
24,36290,6,M,0
33,27692,2,M,0
43,39948,10,M,0
65,31638,8,F,0
19,20000,1,F,0
18,20000,0,M,0
65,42862,12,M,1
29,42460,11,F,0
22,24698,4,F,0
54,44196,13,F,0
49,47397,14,F,1
26,24519,4,M,0
58,97430,38,M,1
52,85013,33,M,1
36,60796,18,F,1
65,20000,1,F,0
33,53470,15,F,1
20,28410,2,F,0
37,27692,2,F,0
41,24841,1,M,0
50,77879,27,M,1
41,64707,23,F,1
28,40940,10,M,0
25,37193,7,F,1
53,86765,32,M,1
55,50275,13,M,1
57,48378,13,F,1
37,41244,12,F,0
52,27581,3,F,0
65,55042,18,F,1
42,62303,23,M,1
52,88958,34,F,1
42,32959,5,M,0
46,43200,11,M,0
35,35723,8,M,0
63,48940,12,F,1
35,55604,17,F,1
19,20970,1,F,0
52,77522,29,F,1
33,54430,15,M,0
58,84069,31,F,1
53,89159,33,M,1
50,81826,32,F,1
21,25101,3,M,0
50,56938,18,F,1
31,43106,13,M,1
38,61344,20,M,1
65,64142,24,F,1
37,61955,19,M,1
25,27849,5,F,0
24,36997,6,F,0
20,24798,2,F,0
34,44140,11,F,0
50,28352,4,M,0
65,57474,19,F,1
29,43767,11,F,1
39,52003,17,M,1
39,60956,21,F,1
63,86299,32,M,1
47,78681,29,M,1
55,46390,11,M,1
55,85948,32,F,1
62,23023,4,M,0
25,30345,7,M,0
44,76705,26,F,1
44,69562,26,F,1
51,53084,16,M,1
38,62444,20,M,1
47,50941,15,F,1
50,86136,32,F,1
45,55990,18,F,1
64,25991,1,M,0
50,33859,5,F,0
22,28047,4,F,0
65,32140,8,F,0
36,60649,18,M,1
21,26572,3,F,0
52,88206,34,M,1
34,55834,16,F,1
61,77405,31,F,1
45,37137,7,F,0
47,36282,10,M,0
46,22341,1,M,0
63,26212,4,M,0
23,29104,5,F,0
52,91080,34,M,1
58,36398,10,M,1
54,52327,15,F,1
41,70780,23,M,1
46,72020,24,F,1
63,36772,10,M,1
48,21950,0,M,0
52,87190,32,M,1
50,23197,0,M,0
38,33287,8,M,0
49,76328,26,F,1
40,67147,22,M,1
50,54959,18,F,1
20,21963,2,F,0
35,48800,16,M,1
42,40023,11,F,0
59,20000,1,M,0
48,36694,7,M,0
20,21232,2,F,0
57,43606,12,M,0
63,61643,20,M,1
41,51525,18,F,1
49,78603,31,M,1
64,82252,29,M,1
39,58682,19,F,1
40,57137,17,F,1
19,25412,1,M,0
44,69837,26,M,1
59,30620,6,M,0
19,22405,1,M,0
43,32876,8,F,0
34,48971,16,F,1
57,24568,0,M,0
50,87392,32,M,1
26,38644,8,F,0
60,31282,7,F,0
65,96939,36,F,1
56,56210,19,M,1
46,80925,28,M,1
59,29667,6,M,0
43,65565,25,F,1
52,87893,34,F,1
42,51830,14,M,1
41,63271,23,F,1
30,43810,12,M,0
24,32229,6,M,0
53,57211,20,F,1
62,93584,39,F,1
37,53731,19,M,1
18,20000,0,F,0
25,33418,7,M,0
63,23764,4,F,0
33,48376,15,M,0
31,44348,13,M,1
29,32339,7,F,0
40,20000,1,F,0
32,51687,14,F,1
45,50951,13,F,1
51,82629,33,M,1
19,26858,1,F,0
49,60240,20,M,1
40,62975,22,F,1
39,57038,17,F,1
42,25522,4,M,0
39,58699,21,M,1
39,57630,17,F,1
59,83372,34,F,1
23,33342,5,M,0
32,49923,14,F,0
60,103025,40,F,1
54,76325,27,M,1
50,33888,5,M,0
25,34845,7,M,0
61,53295,17,M,1
61,74768,29,M,1
22,31567,4,M,0
56,85443,31,M,1
21,26573,3,M,0
23,25522,5,M,0
62,89654,33,M,1
49,40527,11,M,1
47,57169,21,M,1
64,60446,20,F,1
52,68600,23,M,1
57,67371,24,F,1
33,22320,1,M,0
30,22031,0,M,0
59,39062,9,M,0
47,75438,29,M,1
36,27797,4,F,0
34,53342,16,M,1
36,20412,0,F,0
45,45039,13,F,0
43,59690,20,M,1
54,34161,5,M,0
43,43439,10,F,0
40,65539,22,M,1
26,34951,8,M,0
29,46907,11,F,0
18,20000,0,M,0
18,22037,0,M,0
64,102848,40,M,1
51,70830,25,F,1
49,21631,2,F,0
65,92180,37,M,1
42,66723,24,M,1
57,89367,37,M,1
62,76843,27,M,1
18,24892,0,F,0
33,48153,15,F,1
56,98444,38,F,1
22,26361,4,F,0
39,60308,21,F,1
46,59733,22,M,1
20,25072,2,F,0
29,38318,11,F,0
43,64229,21,M,1
33,53330,15,F,1
54,95707,36,M,1
39,25880,4,M,0
46,50181,17,M,1
31,32676,7,F,0
45,74481,27,M,1
22,25429,4,M,0
64,46293,11,F,1
47,75654,29,M,1
63,57456,21,F,1
22,31031,4,M,0
29,42588,11,F,0
33,24984,1,F,0
43,24078,4,F,0
43,23653,1,F,0
65,89353,34,M,1
38,23620,4,F,0
56,81127,30,F,1
53,55535,16,F,1
50,75999,26,F,1
47,73402,29,F,1
54,42152,9,F,0
40,38813,11,M,1
27,41409,9,M,0
22,32736,4,F,0
53,36043,7,F,0
51,84844,33,F,1
48,23600,3,M,0
27,30208,6,F,0
36,60884,18,F,1
49,46967,14,M,1
18,22209,0,F,0
22,32533,4,M,1
62,23563,0,M,0
21,28597,3,F,0
33,22747,0,M,0
41,55019,18,F,1
33,53959,15,F,1
19,20000,1,F,0
45,42459,13,F,1
49,83907,31,F,1
44,70388,26,M,1
37,57617,19,M,1
41,22287,2,M,0
29,39460,11,M,0
52,92263,34,M,1
50,87999,32,F,1
50,27219,4,F,0
60,86841,34,M,1
54,48615,16,M,1
29,39471,11,M,0
20,26807,2,M,0
18,21755,0,F,0
50,82483,32,M,1
57,35930,6,M,0
27,33222,9,M,0
60,78163,29,F,1
61,56999,19,F,1
46,20000,2,M,0
30,47606,12,M,1
29,31391,6,F,1
48,84353,30,M,1
63,28848,2,F,0
19,20000,1,F,0
52,59716,21,M,1
40,59685,22,M,1
34,26105,2,M,0
43,66243,25,M,1
25,37550,7,M,0
46,76015,28,F,1
43,40022,9,M,0
27,34746,6,M,0
43,46776,15,M,1
51,84127,31,M,1
58,24552,1,F,0
24,31070,6,F,0
21,26801,3,M,0
62,27175,2,F,0
28,38925,10,M,0
46,74827,28,M,1
53,89690,35,M,1
42,26573,3,F,0
38,62314,20,M,1
53,31481,7,M,0
27,39738,9,F,0
54,89477,36,M,1
26,26184,4,M,0
41,36073,9,F,0
52,66450,25,F,1
52,49783,15,M,1
65,60239,22,M,1
53,55057,16,M,1
35,54975,17,M,1
56,50338,17,M,1
49,83149,31,F,1
41,38807,10,M,0
40,67210,22,M,1
49,49171,14,M,0
54,20000,0,F,0
29,39504,11,F,1
30,39611,8,F,0
40,54179,16,F,1
42,49295,14,M,0
52,23522,3,F,0
58,87222,36,M,1
47,25412,5,M,0
34,32608,5,M,0
37,54594,18,M,1
65,61976,22,F,1
42,65617,24,F,1
39,20000,0,F,0
30,38331,8,M,0
36,53559,18,F,1
53,20000,0,F,0
29,43152,11,F,0
58,65503,24,M,1
36,46823,15,F,1
29,41757,11,M,0
26,34271,8,M,0
24,30849,4,M,0
45,64425,21,F,1
31,45386,13,M,1
48,38129,8,M,0
36,42854,13,F,1
64,52402,15,F,1
33,49641,15,M,1
22,29258,4,F,0
52,27475,5,F,0
29,41668,11,M,1
42,20000,0,M,0
38,53200,17,F,1
53,43410,10,M,0
40,35242,10,F,0
33,53505,15,F,1
56,38823,11,F,0
62,90678,33,M,1
59,48606,15,F,1
56,35295,9,M,0
31,42668,13,F,1
48,35834,7,F,0
22,31034,4,F,0
52,43105,13,F,1
40,38032,8,F,0
46,52176,18,F,1
60,89430,33,F,1
28,37756,10,F,0
35,54155,17,M,1
64,71669,28,M,1
29,42332,11,M,0
26,39090,8,M,0
27,37173,9,M,0
61,41314,11,M,1
34,47154,16,F,1
55,33756,5,F,0
24,23663,1,M,0
63,99120,38,F,1
30,42799,12,F,1
57,87188,36,M,1
59,77678,28,M,1
26,36879,8,M,0
44,39860,11,F,0
19,22770,1,F,0
22,27515,4,F,0
46,54274,17,F,1
54,74848,29,M,1
55,56420,17,F,1
36,31096,6,F,0
25,34980,7,F,0
65,75896,29,F,1
62,27717,4,F,0
18,23034,0,M,0
39,63549,21,M,1
34,30474,5,F,0
24,36408,6,F,0
42,30431,3,M,0
62,46942,12,M,1
21,24946,3,M,0
53,54740,19,M,1
23,25789,5,M,0
48,80612,30,M,1
36,58795,18,M,1
61,24318,0,M,0
56,65669,24,M,1
44,63499,24,F,1
27,20000,0,M,0
43,24389,2,M,0
36,55153,18,M,1
56,64158,20,M,1
20,20459,2,M,0
62,64582,20,M,1
30,25080,2,F,0
45,70790,27,F,1
37,56768,19,F,1
45,70694,27,F,1
25,33359,7,M,0
58,64663,22,M,1
56,42046,12,M,0
18,20505,0,M,0
20,25971,2,M,0
30,43301,12,M,1
45,52762,18,M,1
42,48941,14,F,0
50,50877,14,M,1
55,71145,25,F,1
23,30833,5,M,0
61,28540,2,F,0
62,51380,16,M,0
49,77125,29,M,1
62,71035,27,F,1
64,83983,33,F,1
38,54767,15,M,1
33,54617,15,F,0
38,44324,10,F,0
28,39864,10,M,0
54,68442,22,F,1
53,65931,24,M,1
52,90761,34,M,1
36,42101,12,F,1
37,59165,18,M,1
35,54160,17,F,1
64,23201,1,F,0
58,34179,7,F,0
31,29885,4,M,0
32,43584,10,M,0
48,20000,1,M,0
18,20690,0,M,0
20,25371,2,F,0
33,45449,15,M,1
40,41676,11,M,0
28,36871,10,M,0
29,37047,11,F,0
27,35068,9,F,0
49,84707,31,F,1
33,54483,15,M,1
25,33284,7,F,0
55,54993,19,F,1
29,41845,11,M,0
41,66725,23,F,1
45,63182,21,M,1
25,34164,7,M,0
45,77794,27,F,1
53,66923,23,M,1
43,69596,23,F,1
25,33731,7,M,0
45,72733,24,F,1
45,73225,27,M,1
54,88561,35,M,1
58,45518,13,M,1
53,56731,19,F,1
44,73283,26,M,1
34,54809,16,F,1
26,38548,8,M,1
50,83520,32,F,1
37,36375,10,M,0
30,44590,12,F,1
45,69657,27,F,1
65,58522,18,F,1
46,24231,2,F,0
30,40364,12,M,1
63,76487,26,F,1
52,67808,22,F,1
23,27850,5,F,0
35,50688,17,M,1
22,30463,4,M,0
64,73764,25,M,1
42,47492,13,M,1
19,20210,1,M,0
27,40368,9,F,0
47,28020,5,M,0
62,36541,7,F,0
22,31308,4,M,0
50,50828,14,M,1
18,20000,0,F,0
35,48552,15,F,1
49,79232,28,F,1
64,89041,33,F,1
28,41769,10,M,0
38,58782,20,F,1
43,36399,9,M,0
42,20000,0,M,0
39,28046,4,M,0
44,28887,2,M,0
30,46089,12,F,0
50,41745,13,M,1
51,69739,26,M,1
58,71807,28,F,1
52,20000,0,M,0
18,20000,0,M,0
38,28130,2,M,0
65,74108,25,F,1
23,27689,5,M,0
45,64078,23,F,1
34,53343,16,F,0
22,25767,4,M,0
48,52543,17,M,1
22,24048,2,M,0
55,80291,32,F,1
20,23934,2,F,0
40,62092,22,M,1
54,59413,20,F,1
54,52016,18,F,1
27,34708,9,M,0
27,40452,9,M,1
36,51789,18,F,1
34,53125,16,F,1
38,60939,20,M,1
31,49162,13,M,1
26,34918,8,F,1
63,87618,34,F,1
18,20000,0,F,0
62,83053,32,F,1
30,47628,12,F,0
21,29262,3,M,0
18,24438,0,F,0
57,91123,36,F,1
49,42003,10,F,0
51,60404,20,F,1
45,53526,16,F,1
48,51626,15,M,1
25,24452,4,F,0
56,36951,9,M,0
43,47979,12,M,1
51,29122,5,M,0
20,27326,2,F,0
29,39777,11,M,1
18,20000,0,M,0
61,77198,28,M,1
22,28941,4,M,0
47,68701,22,F,1
47,38578,10,M,0
34,56418,16,F,1
65,59021,20,F,1
64,67136,25,M,1
40,68857,22,F,1
32,44273,14,M,1
54,41966,10,M,0
38,58432,20,F,1
31,46618,13,M,1
19,22607,1,M,0
28,35887,8,M,0
56,35742,7,F,0
55,82528,29,F,1
51,34649,6,F,0
55,94442,36,F,1
51,68910,22,M,1
35,37832,8,M,0
47,52561,18,F,1
32,29066,7,M,0
44,43285,13,F,0
51,78945,27,F,1
55,89484,34,F,1
50,31791,6,F,0
41,25612,5,F,0
32,46009,14,M,1
47,82078,29,M,1
59,48625,15,M,0
34,20000,0,M,0
22,23508,4,M,0
46,33524,6,M,0
21,25557,3,F,0
27,26199,4,F,0
34,52053,16,F,0
27,38234,9,F,0
34,54869,16,M,1
37,53013,15,F,1
41,27693,5,M,0
22,28060,4,F,0
51,35071,7,F,1
23,32434,5,F,0
19,24728,1,F,0
30,43360,12,M,0
60,37749,8,F,0
60,77682,29,F,1
65,41872,12,F,0
28,39421,10,M,0
64,20000,1,F,0
40,64042,22,F,1
33,47874,15,F,1
48,43372,12,M,0
28,36330,10,M,0
33,51286,15,F,0
25,35809,7,M,0
21,25658,1,F,0
57,22805,0,M,0
21,30145,3,F,0
42,65547,24,F,1
20,22043,2,M,0
49,50049,16,F,1
20,27959,2,F,0
44,34742,6,F,0
46,61992,20,F,1
49,74086,28,F,1
36,58275,18,M,1
38,27791,3,M,0
22,29588,4,F,0
35,50542,17,F,1
45,77008,27,M,1
59,88014,33,F,1
39,57053,21,M,1
38,62516,20,M,1
23,34233,5,M,0
18,20000,0,M,0
22,31201,4,M,0
58,64771,22,F,1
29,42364,11,F,0
43,61490,22,M,1
63,51057,16,F,1
51,37530,7,F,0
31,41853,13,F,1
43,35982,9,F,0
62,79070,29,F,1
44,29981,6,M,0
26,21211,1,M,0
43,60706,21,F,1
64,29900,4,M,0
39,20069,2,M,0
64,37471,8,F,1
47,26688,4,M,0
60,62454,19,F,1
65,76873,28,M,1
34,28078,5,M,0
43,25492,3,M,0
53,94948,35,M,1
18,20000,0,M,0
25,37800,7,F,0
52,47553,14,M,1
32,50135,14,F,1
64,91085,38,M,1
39,60747,18,M,1
31,21956,2,F,0
43,73475,25,M,1
45,58382,21,F,1
40,29512,5,F,0
31,50767,13,M,0
41,26767,4,M,0
19,22229,1,M,0
62,90254,33,F,1
43,33713,9,F,0
31,47116,13,F,1
24,29873,6,F,1
20,25755,2,F,0
64,59844,20,F,1
40,64787,22,F,1
63,88688,35,F,1
60,71396,27,M,1
64,48750,12,F,0
62,85702,35,F,1
35,22635,0,M,0
55,34081,8,F,0
52,55387,19,M,1
32,46740,14,M,0
42,20000,2,M,0
54,84037,31,F,1
45,75319,27,M,1
27,34729,5,F,0
56,26717,5,M,0
34,54059,16,F,1
56,72417,27,F,1
39,58030,21,F,1
43,22947,0,M,0
61,94090,39,M,1
42,54962,15,F,0
34,50551,16,M,1
30,47927,12,F,1
37,50557,14,M,1
42,42488,9,M,0
21,28084,3,M,0
27,42240,9,F,1
20,26019,2,M,0
58,68676,26,F,1
62,41692,12,F,0
35,49555,17,M,1
64,20000,2,M,0
53,83285,34,F,1
64,40651,11,F,0
39,57936,21,F,1
51,80725,29,F,1
64,66577,21,M,1
25,38443,7,F,1
57,67135,26,F,1
61,58857,21,F,1
36,32441,6,F,0
59,44144,10,M,0
58,53520,15,F,1
54,88429,35,M,1
23,28920,5,F,0
43,67830,25,F,1
51,85052,33,F,1
62,22645,2,M,0
23,30965,5,F,0
54,93749,36,F,1
50,81474,32,M,1
39,61849,21,F,1
38,60672,20,M,1
23,27545,5,M,0
23,30965,5,F,0
65,43937,10,M,0
21,21093,3,F,0
47,49559,13,M,0
28,37874,10,M,0
47,64382,20,M,1
48,71165,27,F,1
41,62454,23,M,1
26,37645,8,M,0
20,25171,2,M,0
48,20000,0,F,0
57,62872,22,M,1
54,84567,31,F,1
53,24713,3,F,0
41,70963,23,F,1
48,29482,5,F,0
23,28652,5,M,0
19,26320,1,M,0
37,58381,19,F,1
45,69615,23,F,1
28,39334,9,F,0
21,24497,3,M,0
32,48116,14,F,0
23,27823,5,F,0
47,64082,24,M,1
55,38910,9,M,0
19,26349,1,M,0
32,52192,14,M,1
28,43495,10,F,1
25,30638,3,F,0
43,31935,8,M,0
62,68647,26,F,1
61,36367,8,F,0
22,32814,4,F,0
23,26413,5,F,0
43,74923,25,F,1
21,25582,3,F,0
36,57121,18,M,1
37,53329,19,F,1
50,35598,8,M,0
37,40722,10,F,0
29,42466,11,M,0
64,54014,16,F,1
18,21393,0,F,0
43,43927,10,F,0
31,42567,13,F,1
55,83638,31,M,1
54,37698,8,M,0
28,43079,10,M,0
53,63494,24,F,1
30,39412,12,M,1
60,88722,32,F,1
20,25539,1,M,0
50,79141,32,M,1
23,27336,5,F,0
27,34159,9,F,0
22,26997,4,F,0
40,45317,13,M,0
27,36202,8,M,0
61,75928,29,F,1
19,20000,1,M,0
30,37331,9,F,1
57,62546,23,M,1
19,20000,1,F,0
37,42716,11,M,1
18,22193,0,F,0
54,77636,31,M,1
26,37356,8,M,0
34,46052,12,F,1
26,32607,8,M,0
28,38563,10,F,0
32,52039,14,M,0
41,63188,22,F,1
55,20703,0,M,0
52,29139,7,F,0
47,78218,29,F,1
48,81575,30,F,1
22,28375,4,M,0
61,96180,40,M,1
31,40625,9,F,0
28,26119,2,F,0
26,32289,8,F,0
51,75683,26,F,1
29,45707,11,M,1
52,38095,10,M,0
52,64337,23,M,1
18,23054,0,F,0
57,32500,6,F,0
39,59394,21,F,1
46,42160,9,F,0
25,36393,7,M,0
28,41124,10,F,1
58,73818,28,M,1
54,68632,26,F,1
31,34885,9,M,0
47,30284,3,F,0
52,63993,21,F,1
38,36682,9,F,0
54,24231,3,F,0
22,26947,4,F,0
36,57670,18,F,1
31,23071,2,F,0
43,68388,23,M,1
21,27905,3,M,0
42,63195,24,F,1
62,96528,40,M,1
59,38560,11,M,0
42,62548,20,M,1
35,50190,16,M,1
57,20339,2,F,0
25,36530,7,F,0
56,93050,35,F,1
57,86931,31,F,1
31,31453,8,F,0
49,79517,31,M,1
55,57661,21,M,1
50,79073,32,M,1
40,67145,22,F,1
32,26631,4,F,0
50,88011,32,F,1
42,29398,3,M,0
34,26845,4,M,0
50,34608,6,F,0
64,43109,10,M,0
19,21699,1,F,0
31,29000,5,F,0
57,73442,28,M,1
57,52308,16,F,1
56,75330,27,M,1
23,25066,5,F,0
23,27584,5,M,0
20,25384,2,M,0
24,27636,6,M,1
25,30169,7,M,0
59,87170,32,M,1
32,27160,4,F,0
64,20000,0,F,0
46,80447,28,F,1
50,83377,32,F,1
47,77119,29,F,1
56,87295,35,M,1
44,67439,26,F,1
53,85820,34,F,1
46,78102,28,M,1
55,40595,11,M,0
50,50286,17,M,1
54,73633,27,M,1
44,45412,12,F,0
50,82552,29,F,1
21,26451,3,M,0
39,50074,16,M,1
19,20000,1,M,0
27,39696,9,F,0
22,32215,4,M,0
27,34008,9,F,0
50,71099,28,F,1
55,45542,15,M,1
30,46816,12,F,1
48,63377,24,F,1
64,96432,39,M,1
53,68230,23,M,1
62,45354,15,F,1
41,54870,15,M,1
32,50805,14,M,1
46,20000,0,M,0
25,33158,7,F,0
22,31016,4,M,0
46,73594,28,M,1
64,70222,27,F,1
21,25319,3,M,0
29,43672,11,F,1
62,83436,31,M,1
19,24077,1,M,0
44,29914,7,F,0
48,82912,30,M,1
53,70655,27,F,1
53,23783,2,F,0
43,35651,6,M,0
60,30410,5,M,0
44,72165,26,M,1
22,30486,4,F,0
37,55403,19,M,1
28,35416,10,M,0
27,38635,9,F,0
57,95931,36,M,1
55,52858,17,M,1
23,24845,3,F,0
25,21509,0,F,0
40,59163,22,M,1
64,74586,27,F,1
43,72176,25,M,1
63,51936,18,F,1
60,80156,32,M,1
29,44511,11,F,0
43,63476,22,F,1
30,45944,12,F,0
57,94075,38,M,1
35,46357,13,F,0
42,63599,24,F,1
50,20743,1,M,0
64,43765,12,F,1
57,100383,39,F,1
60,75155,27,M,1
29,40481,11,F,0
61,39198,11,F,0
53,45252,12,M,0
65,27847,2,M,0
21,24409,3,M,0
22,28163,4,F,0
54,42376,11,M,1
25,37063,7,M,0
59,21177,1,M,0
45,47182,15,M,0
48,79005,30,M,1
26,32966,8,F,0
46,35461,8,M,1
31,49173,13,F,0
57,56460,18,M,1
58,30519,6,F,0
39,64683,21,M,1
28,37592,10,F,0
40,20000,0,F,0
18,20000,0,M,0
63,96978,38,M,1
54,20000,0,F,0
38,64597,20,M,1
43,40407,9,F,0
63,40694,10,F,0
53,93426,35,M,1
40,66779,21,M,1
18,23090,0,M,0
57,20904,0,M,0
32,51883,14,M,0
38,41542,10,F,1
64,34411,5,M,0
26,34537,8,M,0
26,40506,8,M,0
27,34787,9,F,0
43,58068,19,M,1
58,22492,3,M,0
52,88773,34,F,1
42,66144,21,M,1
43,71963,25,M,1
28,37577,10,F,0
55,46236,12,M,1
19,24214,1,F,0
24,35615,6,M,0
35,56263,17,M,1
44,25195,2,F,0
51,43826,11,M,0
44,44110,13,M,0
34,53979,16,F,1
60,84508,31,M,1
61,30379,3,M,0
41,67360,23,F,1
42,68317,24,M,1
24,31058,6,F,0
23,26567,5,M,0
41,42655,10,F,0
50,73808,29,M,1
46,56171,18,M,1
60,87451,35,M,1
39,28818,5,M,0
43,20000,1,F,0
45,75571,27,F,1
38,56587,18,F,1
24,36869,6,F,0
34,51861,16,F,1
37,59252,19,M,1
58,89326,35,M,1
37,60209,19,F,1
39,58487,21,M,1
45,21796,0,M,0
57,66606,22,F,1
24,27801,6,F,0
18,20000,0,F,0
49,29071,3,F,0
30,45394,12,F,1
47,26139,4,F,0
40,26799,5,F,0
36,54619,18,M,1
49,20000,0,F,0
47,44334,14,M,0
46,51131,15,M,1
62,60271,22,M,1
46,79679,28,F,1
47,60134,21,F,1
33,25331,4,M,0
57,28403,4,F,0
36,29258,5,F,0
35,20638,1,F,0
18,23359,0,M,0
31,46638,13,F,0
64,85650,34,F,1
19,25666,1,F,0
45,54289,15,F,1
47,81334,29,F,1
55,92769,34,F,1
21,25278,3,F,0
18,20000,0,F,0
25,25864,4,F,0
46,44595,10,M,0
56,77555,28,M,1
20,21962,2,M,0
49,52922,15,M,1
27,42545,9,F,0
27,21741,2,F,0
36,21234,2,F,0
63,20000,0,M,0
